name|set|set_code|type|power|toughness|loyalty|manacost|converted_manacost|artist|flavor|color|generated_mana|number|rarity|ruling|variation|ability|watermark|name_FR
Elite Inquisitor|Magic Game Day Cards|GDC|Creature — Human Soldier|2|2||{W}{W}|2|Igor Kieryluk||W||13|R|||First strike, vigilance£Protection from Vampires, from Werewolves, and from Zombies||
Firemane Avenger|Magic Game Day Cards|GDC|Creature — Angel|3|3||{2}{R}{W}|4|Ryan Barger||WR||24|R|£1/24/2013: If the target creature or player is an illegal target when <u>Firemane Avenger</u>'s battalion ability tries to resolve, the ability will be countered and none of its effects will happen. You won't gain life.££1/24/2013: If <u>Firemane Avenger</u>'s battalion ability resolves but some or all of the damage is prevented, you'll still gain 3 life.££4/15/2013: The three attacking creatures don't have to be attacking the same player or planeswalker.££4/15/2013: Once a battalion ability has triggered, it doesn't matter how many creatures are still attacking when that ability resolves.££4/15/2013: The effects of battalion abilities vary from card to card. Read each card carefully.||Flying£Battalion — Whenever Firemane Avenger and at least two other creatures attack, Firemane Avenger deals 3 damage to target creature or player and you gain 3 life.||
Goblin Diplomats|Magic Game Day Cards|GDC|Creature — Goblin|2|1||{1}{R}|2|Jesper Ejsing||R||29|R|£7/1/2013: The controller of each creature still decides which player or planeswalker that creature attacks.££7/1/2013: Creatures that enter the battlefield (or noncreature permanents that become creatures) after the ability resolves are affected by the ability and must attack if able.££7/1/2013: If, during a player’s declare attackers step, a creature is tapped, is affected by a spell or ability that says it can’t attack, or hasn’t been under that player’s control continuously since the turn began (and doesn’t have haste), then it doesn’t attack. If there’s a cost associated with having a creature attack, the player isn’t forced to pay that cost, so it doesn’t have to attack in that case either.||{T}: Each creature attacks this turn if able.||
Hive Stirrings|Magic Game Day Cards|GDC|Sorcery||||{2}{W}|3|Johann Bodin||W||28|R|£7/1/2013: If you change the creature type of a Sliver you control so it’s no longer a Sliver, it will no longer be affected by its own ability. Its ability will continue to affect other Sliver creatures you control.££7/1/2013: Abilities that Slivers grant, as well as power/toughness boosts, are cumulative. However, for some abilities, like flying, having more than one instance of the ability doesn’t provide any additional benefit.||Put two 1/1 colorless Sliver creature tokens onto the battlefield.||
Killing Wave|Magic Game Day Cards|GDC|Sorcery||||{X}{B}|1|Michael Komarck||B||19|R|£5/1/2012: First, the active player chooses whether to pay X life for each creature he or she controls. Then each other player in turn order chooses for his or her creatures. Then each player pays life and sacrifices creatures at the same time. Players will know the decisions of players who chose before them.££5/1/2012: A player may choose to pay life for some creatures and sacrifice the rest. It's not an all-or-nothing decision.££5/1/2012: You can't pay more life than you have.££5/1/2012: If you can't sacrifice a creature (perhaps because of Sigarda, Host of Herons), you can choose not to pay life and nothing will happen.||For each creature, its controller sacrifices it unless he or she pays X life.||
Latch Seeker|Magic Game Day Cards|GDC|Creature — Spirit|3|1||{1}{U}{U}|3|Eytan Zana||U||18|R|||Latch Seeker can't be blocked.||
Liliana's Specter|Magic Game Day Cards|GDC|Creature — Specter|2|1||{1}{B}{B}|3|Jaime Jones|"#_""The finest minions know what I need without me ever saying a thing.""—Liliana Vess_#"|B||2|R|||Flying£When Liliana's Specter enters the battlefield, each opponent discards a card.||
Magmaquake|Magic Game Day Cards|GDC|Instant||||{X}{R}{R}|2|Sam Burley||R||20|R|£7/1/2012: <u>Magmaquake</u> doesn't target any creature or planeswalker. For example, it will deal damage to a creature without flying that has hexproof.||Magmaquake deals X damage to each creature without flying and each planeswalker.||
Melek, Izzet Paragon|Magic Game Day Cards|GDC|Legendary Creature — Weird Wizard|2|4||{4}{U}{R}|6|Johann Bodin||UR||26|R|£4/15/2013: Melek doesn't affect the timing rules associated with when you can cast the card. If it's a sorcery card, you can cast it only during your main phase when the stack is empty.££4/15/2013: You still pay all costs for that spell, including additional costs. You may also pay alternative costs, such as overload costs. Although you can't pay additional costs for the copy that's created, effects based on any additional costs that were paid for the original spell are copied as though those same costs were paid for the copy too. For example, if a player sacrifices a 3/3 creature to cast Fling, and you copy it, the copy of Fling will also deal 3 damage to its target.££4/15/2013: Melek's last ability will copy any instant or sorcery spell you cast from your library, not just one with targets.££4/15/2013: When the last ability resolves, it creates a copy of the spell. You control the copy. That copy is created on the stack, so it's not “cast.” Abilities that trigger when a player casts a spell won't trigger. The copy will then resolve like a normal spell, after players get a chance to cast spells and activate abilities.££4/15/2013: The copy will have the same targets as the spell it's copying unless you choose new ones. You may change any number of the targets, including all of them or none of them. If, for one of the targets, you can't choose a new legal target, then it remains unchanged (even if the current target is illegal).££4/15/2013: If the spell being copied is modal (that is, it says “Choose one —” or the like), the copy will have the same mode. You can't choose a different one.££4/15/2013: If the spell being copied has an X whose value was determined as it was cast (like Debt to the Deathless has), the copy has the same value of X.££4/15/2013: Instant and sorcery cards with miracle allow a player to cast a card immediately upon drawing it. If you cast a spell this way, you're casting it from your hand, not your library. Melek's ability won't trigger.££4/15/2013: The top card of your library isn't in your hand, so you can't suspend it, cycle it, discard it, or activate any of its activated abilities.££4/15/2013: If the top card of your library changes while you're casting a spell or activating an ability, the new top card won't be revealed until you finish casting that spell or activating that ability.££4/15/2013: When playing with the top card of your library revealed, if an effect tells you to draw several cards, reveal each one before you draw it.||Play with the top card of your library revealed.£You may cast the top card of your library if it's an instant or sorcery card.£Whenever you cast an instant or sorcery spell from your library, copy it. You may choose new targets for the copy.||
Memnite|Magic Game Day Cards|GDC|Artifact Creature — Construct|1|1||{0}|0|rk post|#_Reminders of Memnarch's reign still skirr across Mirrodin, reminiscent of his form if not his power._#|A||4|R|||||
Mitotic Slime|Magic Game Day Cards|GDC|Creature — Ooze|4|4||{4}{G}|5|Ron Spencer||G||3|R|||"When Mitotic Slime dies, put two 2/2 green Ooze creature tokens onto the battlefield. They have ""When this creature dies, put two 1/1 green Ooze creature tokens onto the battlefield."""||
Mwonvuli Beast Tracker|Magic Game Day Cards|GDC|Creature — Human Scout|2|1||{1}{G}{G}|3|Jason A. Engle||G||21|R|"£7/1/2012: The creature card must have one of the listed abilities, not an ability that grants one of the listed abilities to the creature. For example, you couldn't put Prized Elephant, which has ""{G}: Prized Elephant gains trample until end of turn,"" on top of your library this way."||When Mwonvuli Beast Tracker enters the battlefield, search your library for a creature card with deathtouch, hexproof, reach, or trample and reveal it. Shuffle your library and put that card on top of it.||
Myr Superion|Magic Game Day Cards|GDC|Artifact Creature — Myr|5|6||{2}|2|Greg Staples|#_Two kinds of myr survive: the powerful and those that stay close by them._#|A||8|R|£6/1/2011: <u>Myr Superion</u> can be cast only with mana produced by the abilities of one or more creatures on the battlefield (such as Alloy Myr or Priest of Urabrask in this set).££6/1/2011: Mana produced by abilities of creature cards not on the battlefield, such as Chancellor of the Tangle or Elvish Spirit Guide, can't be used to cast <u>Myr Superion</u>.||Spend only mana produced by creatures to cast Myr Superion.||
Nighthowler|Magic Game Day Cards|GDC|Enchantment Creature — Horror|0|0||{1}{B}{B}|3|Seb McKinnon||B||31|R|||Bestow {2}{B}{B} #_(If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)_#£Nighthowler and enchanted creature each get +X/+X, where X is the number of creature cards in all graveyards.||
Phalanx Leader|Magic Game Day Cards|GDC|Creature — Human Soldier|1|1||{W}{W}|2|Raymond Swanland||W||30|R|||Heroic — Whenever you cast a spell that targets Phalanx Leader, put a +1/+1 counter on each creature you control.||
Priest of Urabrask|Magic Game Day Cards|GDC|Creature — Human Cleric|2|1||{2}{R}|3|Clint Cearley|#_Even in New Phyrexia, red mana sparks glimmers of individualism, passion, and freedom._#|R|{R}|9|R|£1/25/2011: You get the mana whether you want it or not. If you don't spend it, it will disappear at the end of the current step (or phase).||When Priest of Urabrask enters the battlefield, add {R}{R}{R} to your mana pool.||
Pristine Talisman|Magic Game Day Cards|GDC|Artifact||||{3}|3|Matt Cavotta|"#_""Tools and artisans can be destroyed, but the act of creation is inviolate.""—Elspeth Tirel_#"|A|{X}|17|R|£6/1/2011: <u>Pristine Talisman</u> has a mana ability. Its ability doesn't use the stack and can't be responded to.||{T}: Add {1} to your mana pool. You gain 1 life.||
Reya Dawnbringer|Magic Game Day Cards|GDC|Legendary Creature — Angel|4|6||{6}{W}{W}{W}|9|Matthew D. Wilson|"#_""You have not died until I consent.""_#"|W||1|R|||Flying£At the beginning of your upkeep, you may return target creature card from your graveyard to the battlefield.||
Stormblood Berserker|Magic Game Day Cards|GDC|Creature — Human Berserker|1|1||{1}{R}|2|Greg Staples|#_Blood is holy to those whose god is War._#|R||10|R|||Bloodthirst 2 #_(If an opponent was dealt damage this turn, this creature enters the battlefield with two +1/+1 counters on it.)_#£Stormblood Berserker can't be blocked except by two or more creatures.||Berserker sangorage
Strangleroot Geist|Magic Game Day Cards|GDC|Creature — Spirit|2|1||{G}{G}|2|Erica Yang|#_Geists of the hanged often haunt the tree on which they died._#|G||15|R|||Haste£Undying #_(When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)_#||
Suture Priest|Magic Game Day Cards|GDC|Creature — Cleric|1|1||{1}{W}|2|Igor Kieryluk||W||16|R|||Whenever another creature enters the battlefield under your control, you may gain 1 life.£Whenever a creature enters the battlefield under an opponent's control, you may have that player lose 1 life.||
Tempered Steel|Magic Game Day Cards|GDC|Enchantment||||{1}{W}{W}|3|jD|"#_""Death shall prevail as long as our will falls to rust. May necessity anneal our resolve.""—Ghalma the Shaper_#"|W||5|R|||Artifact creatures you control get +2/+2.||
Treasure Mage|Magic Game Day Cards|GDC|Creature — Human Wizard|2|2||{2}{U}|3|Greg Staples||U||6|R|£6/1/2011: If a card in your library has X in its mana cost, X is considered to be 0.||When Treasure Mage enters the battlefield, you may search your library for an artifact card with converted mana cost 6 or greater, reveal that card, and put it into your hand. If you do, shuffle your library.||
Trostani's Summoner|Magic Game Day Cards|GDC|Creature — Elf Shaman|1|1||{5}{W}{G}|7|Nils Hamm||GW||27|R|||When Trostani's Summoner enters the battlefield, put a 2/2 white Knight creature token with vigilance, a 3/3 green Centaur creature token, and a 4/4 green Rhino creature token with trample onto the battlefield.||
Zameck Guildmage|Magic Game Day Cards|GDC|Creature — Elf Wizard|2|2||{G}{U}|2|Raymond Swanland||GU||25|R|£1/24/2013: <u>Zameck Guildmage</u>'s first ability is cumulative. For example, if it resolves twice in a turn, each creature that enters the battlefield under your control that turn will do so with two +1/+1 additional counters on it.££1/24/2013: <u>Zameck Guildmage</u>'s first ability has no effect on creatures already on the battlefield when it resolves.||{G}{U}: This turn, each creature you control enters the battlefield with an additional +1/+1 counter on it.£{G}{U}, Remove a +1/+1 counter from a creature you control: Draw a card.||
Zombie Apocalypse|Magic Game Day Cards|GDC|Sorcery||||{3}{B}{B}{B}|6|Volkan Baga|"#_""There will come a day so dark you will pray for death. On that day your prayers will be answered.""£—Minaldra, the Vizag Atum_#"|B||14|R|£1/22/2011: All Humans are destroyed, not just ones you control.££1/22/2011: If a creature card in your graveyard is both a Zombie and a Human, it will be returned to the battlefield tapped, then be destroyed.||Return all Zombie creature cards from your graveyard to the battlefield tapped, then destroy all Humans.||
Abhorrent Overlord|Prerelease Events|PRE|Creature — Demon|6|6||{5}{B}{B}|7|Dave Kendall||B||70|R|||Flying£When Abhorrent Overlord enters the battlefield, put a number of 1/1 black Harpy creature tokens with flying onto the battlefield equal to your devotion to black. #_(Each {B} in the mana costs of permanents you control counts toward your devotion to black.)_#£At the beginning of your upkeep, sacrifice a creature.||
Ajani Vengeant|Prerelease Events|PRE|Planeswalker — Ajani|||3|{2}{R}{W}|4|Jason Chan||WR||38|R|£10/1/2008: You may target any permanent with <u>Ajani Vengeant</u>'s first ability. It doesn't have to be tapped.££10/1/2008: The first ability tracks the permanent, but not its controller. If the permanent changes controllers before its first controller's next untap step has come around, then it won't untap during its new controller's next untap step.££7/1/2013: Planeswalkers are permanents. You can cast one at the time you could cast a sorcery. When your planeswalker spell resolves, it enters the battlefield under your control.££7/1/2013: Planeswalkers are not creatures. Spells and abilities that affect creatures won’t affect them.££7/1/2013: Planeswalkers have loyalty. A planeswalker enters the battlefield with a number of loyalty counters on it equal to the number printed in its lower right corner. Activating one of its abilities may cause it to gain or lose loyalty counters. Damage dealt to a planeswalker causes that many loyalty counters to be removed from it. If it has no loyalty counters on it, it’s put into its owner’s graveyard as a state-based action.££7/1/2013: Planeswalkers each have a number of activated abilities called “loyalty abilities.” You can activate a loyalty ability of a planeswalker you control only at the time you could cast a sorcery and only if you haven’t activated one of that planeswalker’s loyalty abilities yet that turn.££7/1/2013: The cost to activate a planeswalker’s loyalty ability is represented by a symbol with a number inside. Up-arrows contain positive numbers, such as “+1”; this means “Put one loyalty counter on this planeswalker.” Down-arrows contain negative numbers, such as “-7”; this means “Remove seven loyalty counters from this planeswalker.” A symbol with a “0” means “Put zero loyalty counters on this planeswalker.”££7/1/2013: You can’t activate a planeswalker’s ability with a negative loyalty cost unless the planeswalker has at least that many loyalty counters on it.££7/1/2013: Planeswalkers can’t attack (unless an effect turns the planeswalker into a creature). However, they can be attacked. Each of your attacking creatures can attack your opponent or a planeswalker that player controls. You say which as you declare attackers.££7/1/2013: If your planeswalkers are being attacked, you can block the attackers as normal.££7/1/2013: If a creature that’s attacking a planeswalker isn’t blocked, it’ll deal its combat damage to that planeswalker. Damage dealt to a planeswalker causes that many loyalty counters to be removed from it.££7/1/2013: If a source you control would deal noncombat damage to an opponent, you may have that source deal that damage to a planeswalker that opponent controls instead. For example, although you can’t target a planeswalker with Shock, you can target your opponent with Shock, and then as Shock resolves, choose to have Shock deal its 2 damage to one of your opponent’s planeswalkers. (You can’t split up that damage between different players and/or planeswalkers.) If you have Shock deal its damage to a planeswalker, two loyalty counters are removed from it.££7/1/2013: If a player controls two or more planeswalkers that share a planeswalker type, that player chooses one of them and the rest are put into their owners’ graveyards as a state-based action.||+1: Target permanent doesn't untap during its controller's next untap step.£-2: Ajani Vengeant deals 3 damage to target creature or player and you gain 3 life.£-7: Destroy all lands target player controls.||
Allosaurus Rider|Prerelease Events|PRE|Creature — Elf Warrior|1+*|1+*||{5}{G}{G}|7|Daren Bader||G||30|R|£7/15/2006: Paying the alternative cost doesn't change when you can cast the spell. A creature spell you cast this way, for example, can still only be cast during your main phase while the stack is empty.££7/15/2006: You may pay the alternative cost rather than the card's mana cost. Any additional costs are paid as normal.££7/15/2006: If you don't have two cards of the right color in your hand, you can't choose to cast the spell using the alternative cost.££7/15/2006: You can't exile a card from your hand to pay for itself. At the time you would pay costs, that card is on the stack, not in your hand.||You may exile two green cards from your hand rather than pay Allosaurus Rider's mana cost.£Allosaurus Rider's power and toughness are each equal to 1 plus the number of lands you control.||
Anthousa, Setessan Hero|Prerelease Events|PRE|Legendary Creature — Human Warrior|4|5||{3}{G}{G}|5|Howard Lyon|#_The warriors she leads can rarely keep pace with her, and neither can the tales._#|G||72|R|||Heroic — Whenever you cast a spell that targets Anthousa, Setessan Hero, up to three target lands you control each become 2/2 Warrior creatures until end of turn. They're still lands.||
Archdemon of Greed|Prerelease Events|PRE|Creature — Demon|||||0|Kev Walker|"#_""The price is paid. The power is mine!""_#"|B||52b|R|||Flying, trample£At the beginning of your upkeep, sacrifice a Human. If you can't, tap Archdemon of Greed and it deals 9 damage to you.||
Archon of the Triumvirate|Prerelease Events|PRE|Creature — Archon|4|5||{5}{W}{U}|7|Svetlin Velinov||WU||55|R|£10/1/2012: The two nonland permanents can be controlled by the same opponent or by different opponents.££10/1/2012: The nonland permanents will be detained before blockers are chosen. Notably, a creature detained this way can't block before it is detained.££4/15/2013: Activated abilities include a colon and are written in the form “[cost]: [effect].” No one can activate any activated abilities, including mana abilities, of a detained permanent.££4/15/2013: The static abilities of a detained permanent still apply. The triggered abilities of a detained permanent can still trigger.££4/15/2013: If a creature is already attacking or blocking when it's detained, it won't be removed from combat. It will continue to attack or block.££4/15/2013: If a permanent's activated ability is on the stack when that permanent is detained, the ability will be unaffected.££4/15/2013: If a noncreature permanent is detained and later turns into a creature, it won't be able to attack or block.££4/15/2013: When a player leaves a multiplayer game, any continuous effects with durations that last until that player's next turn or until a specific point in that turn will last until that turn would have begun. They neither expire immediately nor last indefinitely.||Flying£Whenever Archon of the Triumvirate attacks, detain up to two target nonland permanents your opponents control. #_(Until your next turn, those permanents can't attack or block and their activated abilities can't be activated.)_#||
Avatar of Discord|Prerelease Events|PRE|Creature — Avatar|5|3||{BR}{BR}{BR}|3|rk post|#_Such is the power of Rakdos that even his shadow takes on a cruel life of its own._#|RB||29|R|||#_({B/R} can be paid with either {B} or {R}.)_#£Flying£When Avatar of Discord enters the battlefield, sacrifice it unless you discard two cards.||
Avatar of Hope|Prerelease Events|PRE|Creature — Avatar|4|9||{6}{W}{W}|8|rk post||W||11|R|£10/4/2004: The converted mana cost of this card is still 8, even if you only pay {W}{W} to cast it.||If you have 3 or less life, Avatar of Hope costs {6} less to cast.£Flying£Avatar of Hope can block any number of creatures.||
Beast of Burden|Prerelease Events|PRE|Artifact Creature — Golem|*|*||{6}|6|Ron Spears|"#_""If it is meant to be nothing but a machine,"" Karn finally asked Jhoira, ""why did Urza build it to be like me?""_#"|A||5|R|||Beast of Burden's power and toughness are each equal to the number of creatures on the battlefield.||
Bloodlord of Vaasgoth|Prerelease Events|PRE|Creature — Vampire Warrior|3|3||{3}{B}{B}|5|Min Yum||B||50|R|£9/22/2011: Multiple instances of bloodthirst are cumulative. For example, if you control <u>Bloodlord of Vaasgoth</u> and cast a Vampire creature spell that already has bloodthirst 1, that Vampire will enter the battlefield with four +1/+1 counters on it if an opponent has been dealt damage that turn.££9/22/2011: A creature spell like Phantasmal Image that may enter the battlefield as a copy of a creature is not a Vampire creature spell, even if you intend on copying a Vampire creature when that creature enters the battlefield.££9/22/2011: Vampire creatures you put directly onto the battlefield without casting them and Vampire creature tokens you put onto the battlefield will not gain bloodthirst 3 from <u>Bloodlord of Vaasgoth</u>.||Bloodthirst 3 #_(If an opponent was dealt damage this turn, this creature enters the battlefield with three +1/+1 counters on it.)_#£Flying£Whenever you cast a Vampire creature spell, it gains bloodthirst 3.||
Carnival Hellsteed|Prerelease Events|PRE|Creature — Nightmare Horse|5|4||{4}{B}{R}|6|Min Yum|#_Its favorite treats are candied hands and sweet hearts._#|RB||57|R|£4/15/2013: You make the choice to have the creature with unleash enter the battlefield with a +1/+1 counter or not as it's entering the battlefield. At that point, it's too late for a player to respond to the creature spell by trying to counter it, for example.££4/15/2013: The unleash ability applies no matter where the creature is entering the battlefield from.££4/15/2013: A creature with unleash can't block if it has any +1/+1 counter on it, not just one put on it by the unleash ability.££4/15/2013: Putting a +1/+1 counter on a creature with unleash that's already blocking won't remove it from combat. It will continue to block.||First strike, haste£Unleash #_(You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)_#||
Celestial Archon|Prerelease Events|PRE|Enchantment Creature — Archon|4|4||{3}{W}{W}|5|Wesley Burt||W||68|R|||Bestow {5}{W}{W} #_(If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)_#£Flying, first strike£Enchanted creature gets +4/+4 and has flying and first strike.||
Comet Storm|Prerelease Events|PRE|Instant||||{X}{R}{R}|2|Tomasz Jedruszek||R||43|R|£3/1/2010: The number of targets you choose for <u>Comet Storm</u> is one more than the number of times it's kicked. First you declare how many times you're going to kick the spell (at the same time you declare the value of X), then you choose the targets accordingly, then you pay the costs. No player can respond between the time you declare how many times you'll kick the spell and the time you choose the targets.££3/1/2010: Each target you choose must be different.££3/1/2010: For example, if you want <u>Comet Storm</u> to deal 4 damage to each of three different targets, that means X is 4 and you're kicking the spell twice. You'll pay a mana cost of {4}{R}{R}, plus a kicker cost of {1}, plus another kicker cost of {1}, for a total of {6}{R}{R}.££3/1/2010: As long as any of its targets are legal at the time <u>Comet Storm</u> resolves, <u>Comet Storm</u> will deal X damage to each of those legal targets.||Multikicker {1} #_(You may pay an additional {1} any number of times as you cast this spell.)_#£Choose target creature or player, then choose another target creature or player for each time Comet Storm was kicked. Comet Storm deals X damage to each of them.||
